CCSG training dataset,,CM 2600d Measurement (SAV+SCI),,,Image Data,,,,,
,No.,X,Y,Z,Raw_R,Raw_G,Raw_B,R,G,B
"Training
data",1,84.35,90.77,93.44,0.367258239,0.689827042,0.480027882,247.8394542,248.0801277,245.959791
,2,20.26,21.70,23.02,0.176576619,0.23570447,0.198297023,141.1673683,143.1673683,138.1673683
,3,4.40,4.70,5.12,0.134673818,0.138043423,0.136307254,12.81216432,12.8143417,13.06053128
,4,84.35,90.75,93.34,0.384239063,0.731132845,0.505469635,248.8539701,250.6272318,247.7407461
,5,20.29,21.74,23.07,0.178328921,0.240590548,0.201154215,142.2065612,144.408187,139.3409784
,6,4.41,4.71,5.14,0.134397204,0.137378765,0.135791747,11.18957759,11.18957759,11.18957759
,7,84.36,90.76,93.45,0.390860668,0.747366323,0.514884055,249.5880389,251.4852664,248.5366526
,8,20.26,21.69,23.01,0.178872024,0.241859632,0.201787279,142.7339236,144.8111482,139.6616345
,9,4.41,4.71,5.15,0.13425239,0.137118427,0.135571255,10.60299027,10.60299027,10.60299027
,10,83.88,90.23,92.87,0.388760147,0.743977658,0.512402607,249.2441574,251.2441574,248.2441574
,11,20.20,21.62,22.93,0.178403527,0.240641516,0.200886685,142.4800406,144.6881986,139.2898824
,12,4.38,4.67,5.09,0.134306608,0.137098895,0.135546647,10.702279,10.702279,10.702279
,13,20.02,21.43,22.71,0.176763438,0.23667515,0.198409263,141.2096095,143.4080418,138.1023371
,14,84.26,90.65,93.34,0.371603264,0.700725966,0.485592319,247.6408768,249.2997532,246.4698795
,15,4.42,4.73,5.16,0.134959493,0.138641233,0.136768451,14.38626796,14.39207432,15.14980404
,16,16.00,10.78,14.89,0.167802042,0.15855163,0.162770267,144.8291479,41.61126433,96.73319785
,17,7.85,6.97,11.43,0.142029909,0.150786649,0.154211987,51.12280447,33.02975758,75.32196255
,18,60.89,65.81,79.75,0.302995978,0.577735556,0.439622662,229.9383074,234.9383074,237.9383074
,19,11.69,10.61,7.03,0.15541795,0.157503899,0.142336738,98.69298882,51.69821454,23.69560168
,20,37.40,34.98,25.52,0.246184583,0.311532957,0.225498487,206.8625345,179.8542604,152.2932211
,21,17.56,19.07,34.47,0.16450108,0.252773613,0.241918342,115.9184207,151.188997,187.1302076
,22,10.80,13.80,7.66,0.152522284,0.185139634,0.149020512,75.94193642,106.9592103,26.98200029
,23,23.65,23.08,41.66,0.183082681,0.276583247,0.267877285,151.7915517,159.7684715,199.2711569
,24,29.83,41.76,45.19,0.208442775,0.439503978,0.316606696,176.6067644,216.6143127,206.5600232
,25,64.83,65.09,51.50,0.343105233,0.522665433,0.34161909,237.463057,230.463057,212.4624764
,26,8.76,6.92,6.29,0.14924063,0.142647874,0.139218361,83.72463347,16.95732327,19.60139353
,27,24.72,15.43,13.16,0.201868461,0.167569388,0.160120419,198.5831035,58.13267528,90.06285382
,28,20.18,21.62,22.92,0.176505601,0.236001575,0.198023554,141.226448,143.3559297,138.0969662
,29,20.23,21.68,22.99,0.176839431,0.236166181,0.198634743,141.6629409,143.6629409,138.6629409
,30,36.74,31.84,47.84,0.225866171,0.309759011,0.287579314,197.7742778,173.7742778,205.7783423
,31,17.70,15.67,36.37,0.162535806,0.221551573,0.238453112,120.4785891,122.884889,192.1304979
,32,69.55,67.83,71.68,0.342990376,0.552884693,0.408602219,238.1124982,232.1124982,232.1124982
,33,39.39,32.06,7.59,0.260279201,0.237521385,0.152796599,221.357962,153.889534,34.18652925
,34,13.80,12.40,38.89,0.148245304,0.215378173,0.247647757,85.05225722,116.1307882,206.366236
,35,28.17,19.43,12.95,0.217231608,0.187153383,0.16253309,205.7005371,89.18856147,88.33720424
,36,8.28,6.66,13.78,0.143084595,0.150134832,0.16059747,58.95412977,26.93816229,93.88938888
,37,33.09,44.49,12.41,0.236743291,0.375711849,0.19265705,197.4810568,221.1271592,65.81158368
,38,44.31,42.09,8.48,0.278355727,0.299297409,0.161717147,223.6074902,195.5347656,25.88488895
,39,62.58,74.87,72.26,0.320253861,0.662989445,0.441264161,234.6609087,244.6609087,236.6609087
,40,25.05,15.44,5.62,0.217131822,0.16220377,0.140965927,211.8513572,53.55421687,32.37175207
,41,7.33,6.09,7.68,0.14204401,0.141505945,0.142622617,53.15720714,13.83930904,34.99404848
,42,4.41,4.71,5.15,0.134650778,0.137792473,0.135941028,12.38336478,12.38336478,12.38336478
,43,84.32,90.76,93.41,0.374702182,0.706304142,0.490901239,248.7130208,248.7257947,246.7194078
,44,14.12,9.39,25.26,0.157357566,0.170306386,0.196748576,118.5881841,57.64827987,161.3020758
,45,6.69,6.81,16.74,0.13644943,0.162087055,0.170704877,27.03585426,56.4646538,122.3775584
,46,55.31,67.09,72.85,0.288805987,0.608233094,0.429844073,226.3752359,238.4608797,236.4324285
,47,8.49,6.72,27.80,0.136774633,0.172327151,0.206899263,41.83858325,63.81709972,184.2608506
,48,15.92,26.33,10.90,0.175300081,0.290785321,0.18093721,124.7702134,192.8125998,75.26665699
,49,20.41,12.39,5.69,0.193272724,0.150502553,0.139307942,187.8050515,29.10349833,26.0965307
,50,53.84,58.69,10.14,0.321760448,0.421662376,0.188962695,235.8532443,236.6208448,47.76614893
,51,29.92,20.18,29.80,0.214067705,0.210718193,0.216270694,201.609087,107.5455073,171.228335
,52,14.84,20.38,40.64,0.155724102,0.305011665,0.282842797,103.8461315,178.9583394,203.266657
,53,64.62,66.92,78.16,0.321986933,0.580850323,0.438477557,234.1149659,235.1149659,237.1149659
,54,36.19,29.34,28.97,0.245724276,0.278417276,0.233043844,212.0052257,161.0023225,170.0040645
,55,23.36,14.22,7.61,0.200272435,0.157330375,0.145022085,197.2402381,42.13935259,46.42952533
,56,84.41,90.83,93.55,0.379592437,0.720285888,0.497531618,248.1053854,250.0908695,247.0981274
,57,4.45,4.75,5.19,0.134961712,0.13878371,0.136895709,14.40571926,14.43968646,15.85614748
,58,19.54,22.27,59.77,0.159984913,0.318960123,0.333342775,123.9323559,177.8994048,221.8969371
,59,26.52,32.01,60.04,0.185435775,0.380935536,0.348465283,159.4052838,200.4202352,220.6983597
,60,68.01,67.18,63.48,0.34106832,0.535910073,0.37792584,236.7947452,231.0018871,224.9997097
,61,84.50,90.92,93.68,0.393842126,0.754014654,0.520070606,250.4467992,251.4523153,248.9499202
,62,53.98,57.85,61.24,0.289809359,0.507022802,0.370548717,223.7300044,225.7300044,222.7300044
,63,35.12,37.52,40.35,0.227578026,0.358699117,0.27796744,190.2469154,195.1484976,191.0451444
,64,20.28,21.73,23.04,0.180467902,0.245241448,0.203796141,144.3997677,146.6813761,141.1175787
