FSCD training dataset,,,,,,CM 2600d Measurement (SAV+SCI),,,Image Data,,,,,
,No.,Observer,Location,Ethnicity,Gender,X,Y,Z,Raw_R,Raw_G,Raw_B,R,G,B
"Training
data",1,Obs.1,FH,Caucasian,F,31.10,29.37,20.36,0.238391658,0.290768358,0.210001129,203.9846,171.466,136.8178
,2,Obs.1,CBR,Caucasian,F,31.44,28.90,19.54,0.212487743,0.25235071,0.190772321,191.3206,156.01,117.9554
,3,Obs.1,CBL,Caucasian,F,32.12,30.27,20.16,0.216599238,0.258063504,0.193085327,188.9877,155.331,118.303
,4,Obs.1,NT,Caucasian,F,36.41,35.35,24.19,0.243124804,0.301935145,0.217832326,206.4429,177.5433,146.8874
,5,Obs.1,CH,Caucasian,F,30.27,28.18,19.39,0.219923894,0.262816462,0.197344266,194.2695,160.8343,128.386
,6,Obs.2,FH,Caucasian,M,33.83,32.73,23.93,0.246705592,0.327738855,0.234523781,206.486,186.1346,158.6636
,7,Obs.2,CBR,Caucasian,M,35.91,35.18,25.90,0.234374748,0.30637496,0.222569009,200.6471,172.5686,145.2568
,8,Obs.2,CBL,Caucasian,M,36.65,36.16,27.07,0.237580267,0.308519785,0.223599256,201.4218,175.6836,148.9427
,9,Obs.2,NT,Caucasian,M,32.95,31.81,21.95,0.242393749,0.308578157,0.225182251,205.9942,179.0884,153.3022
,10,Obs.2,CH,Caucasian,M,25.60,25.10,17.29,0.219068452,0.27090433,0.201405861,196.862,167.1119,134.0054
,11,Obs.3,FH,Caucasian,M,31.26,29.41,20.97,0.234243796,0.287453598,0.210641541,204.6209,173.2307,144.2618
,12,Obs.3,CBR,Caucasian,M,30.47,27.55,21.36,0.22956976,0.286150887,0.210891583,199.6363,167.9589,138.8774
,13,Obs.3,CBL,Caucasian,M,31.53,29.97,22.53,0.239643782,0.298410119,0.217099012,194.1038,163.9469,135.9823
,14,Obs.3,NT,Caucasian,M,31.77,30.16,21.57,0.232768152,0.281740522,0.20933223,200.7159,165.4471,137.6867
,15,Obs.3,CH,Caucasian,M,28.59,26.37,17.93,0.202850928,0.235723546,0.183349052,177.3745,141.7132,108.5652
,16,Obs.4,FH,Caucasian,M,35.92,35.35,26.61,0.255465773,0.331378812,0.231926178,211.7082,188.7939,156.4683
,17,Obs.4,CBR,Caucasian,M,31.07,29.48,22.77,0.2226528,0.273260214,0.204482053,194.4271,162.7609,133.3991
,18,Obs.4,CBL,Caucasian,M,32.31,30.69,23.23,0.228491678,0.280608667,0.208529181,196.1142,166.6355,138.0446
,19,Obs.4,NT,Caucasian,M,34.23,32.88,24.19,0.238437892,0.2942939,0.215755804,204.4337,173.2257,144.9619
,20,Obs.4,CH,Caucasian,M,33.64,32.43,24.23,0.2408,0.2998,0.2223,205.1134,174.9308,151.912
,21,Obs.5,FH,Caucasian,F,34.43,32.88,27.84,0.25499657,0.340029384,0.245742106,210.2057,188.8032,166.907
,22,Obs.5,CBR,Caucasian,F,34.17,32.60,26.69,0.22931821,0.300369128,0.224545764,202.0527,177.4729,155.6032
,23,Obs.5,CBL,Caucasian,F,34.61,33.50,28.24,0.222253368,0.286663151,0.215888728,194.2791,170.5017,147.8001
,24,Obs.5,NT,Caucasian,F,38.13,36.28,27.68,0.241606375,0.309255739,0.228047272,205.7774,178.5721,155.9969
,25,Obs.5,CH,Caucasian,F,33.14,30.51,24.47,0.23878811,0.300026729,0.2229666,204.1742,175.366,154.2207
,26,Obs.6,FH,Caucasian,M,34.78,33.40,25.22,0.246250268,0.316467397,0.228265195,206.5336,180.9577,153.6513
,27,Obs.6,CBR,Caucasian,M,32.58,29.48,22.98,0.216603468,0.257573211,0.200021406,193.3506,155.5221,133.1757
,28,Obs.6,CBL,Caucasian,M,31.83,29.09,22.49,0.21755051,0.25793643,0.199980587,189.8827,153.3318,130.6813
,29,Obs.6,NT,Caucasian,M,34.60,32.59,23.92,0.228467021,0.273068561,0.208315986,199.1699,162.3007,139.8997
